"gene_id","log2FoldChange_ds1","padj_ds1","FDR_ds1","log2FoldChange_ds2","padj_ds2","FDR_ds2","logFC_dataset1","logFC_dataset2","FDR","baseMean","sig_status"
"GENE_0001",2.05643767072,0.0321555238305758,0.0321555238305758,2.90809661382463,0.0257274415837498,0.0257274415837498,2.05643767072,2.90809661382463,0.0321555238305758,8924098.27902368,"Both significant"
"GENE_0002",-0.847047257094133,0.577052692472461,0.577052692472461,-1.19784581617902,0.280630052034513,0.280630052034513,-0.847047257094133,-1.19784581617902,0.577052692472461,1774.89063540721,"Neither"
"GENE_0003",4.32561492084618,0.0293743283884473,0.0293743283884473,3.41691877858274,0.020719280396913,0.020719280396913,4.32561492084618,3.41691877858274,0.0293743283884473,720714.577360435,"Both significant"
"GENE_0004",0.949293907441561,0.397899122325274,0.397899122325274,-5.85695435715513,0.0203033804876515,0.0203033804876515,0.949293907441561,-5.85695435715513,0.397899122325274,2402.02543578914,"Dataset 2 only"
"GENE_0005",0.606402484711499,0.313683011593266,0.313683011593266,0.857539733643821,0.540585534804847,0.540585534804847,0.606402484711499,0.857539733643821,0.540585534804847,6.4783894043295,"Neither"
"GENE_0006",-0.159186774137226,0.326902064956558,0.326902064956558,-0.22511283732322,0.194113639635419,0.194113639635419,-0.159186774137226,-0.22511283732322,0.326902064956558,1,"Neither"
"GENE_0007",2.26728299615841,0.0267685474261526,0.0267685474261526,3.20626202174263,0.0198247016291676,0.0198247016291676,2.26728299615841,3.20626202174263,0.0267685474261526,9430.29604514437,"Both significant"
"GENE_0008",-0.141988557619646,0.404177878508754,0.404177878508754,-0.200792102525026,0.515219407479269,0.515219407479269,-0.141988557619646,-0.200792102525026,0.515219407479269,31.7048135003738,"Neither"
"GENE_0009",3.02763557081556,0.024828747362038,0.024828747362038,4.28150917323988,0.0198247016291676,0.0198247016291676,3.02763557081556,4.28150917323988,0.024828747362038,1156.00197353133,"Both significant"
"GENE_0010",-0.0940711485786315,0.397899122325274,0.397899122325274,-0.133030041481554,0.186538979161932,0.186538979161932,-0.0940711485786315,-0.133030041481554,0.397899122325274,462983.538735322,"Neither"
"GENE_0011",1.95730448133523,0.0315173173321238,0.0315173173321238,2.76790812356683,0.0206444294673397,0.0206444294673397,1.95730448133523,2.76790812356683,0.0315173173321238,3317.21802066732,"Both significant"
"GENE_0012",0.0145138311722972,0.495294019471838,0.495294019471838,2.45964684383544,0.0198247016291676,0.0198247016291676,0.0145138311722972,2.45964684383544,0.495294019471838,370.982847865559,"Dataset 2 only"
"GENE_0013",-2.08329105166851,0.0322063018593398,0.0322063018593398,-2.9460711302994,0.0198247016291676,0.0198247016291676,-2.08329105166851,-2.9460711302994,0.0322063018593398,1.29758262576731,"Both significant"
"GENE_0014",-0.418183150226057,0.487189298458354,0.487189298458354,-0.591370708894437,0.0313827337419535,0.0313827337419535,-0.418183150226057,-0.591370708894437,0.487189298458354,62.9544357809891,"Dataset 2 only"
"GENE_0015",-0.199982004590487,0.027296834863926,0.027296834863926,-0.28280312049129,0.451545081819259,0.451545081819259,-0.199982004590487,-0.28280312049129,0.451545081819259,136.953471081609,"Dataset 1 only"
"GENE_0016",0.953925597105111,0.668329129591218,0.668329129591218,1.34898705576169,0.40637339636118,0.40637339636118,0.953925597105111,1.34898705576169,0.668329129591218,10624.5024011596,"Neither"
"GENE_0017",-0.426379382124109,0.359594764218898,0.359594764218898,-0.60296135157144,0.290282800365347,0.290282800365347,-0.426379382124109,-0.60296135157144,0.359594764218898,5311.11886757658,"Neither"
"GENE_0018",-3.98468313135716,0.0244242415940399,0.0244242415940399,-5.63491113125093,0.019932487293846,0.019932487293846,-3.98468313135716,-5.63491113125093,0.0244242415940399,1049.40979392277,"Both significant"
"GENE_0019",-3.66070039286328,0.0250901770467255,0.0250901770467255,-5.17675326040148,0.0215422892387902,0.0215422892387902,-3.66070039286328,-5.17675326040148,0.0250901770467255,1863.65535667392,"Both significant"
"GENE_0020",1.98017001859529,0.0293692249841316,0.0293692249841316,2.80024325943116,0.0206444294673397,0.0206444294673397,1.98017001859529,2.80024325943116,0.0293692249841316,369.670783131095,"Both significant"
"GENE_0021",-0.459957891117712,0.389768854321478,0.389768854321478,-0.650446159738463,0.199680335821749,0.199680335821749,-0.459957891117712,-0.650446159738463,0.389768854321478,1110.04563738962,"Neither"
"GENE_0022",-2.67196265097,0.0244242415940399,0.0244242415940399,-3.77853685924319,0.0214997853172722,0.0214997853172722,-2.67196265097,-3.77853685924319,0.0244242415940399,2555.70759029688,"Both significant"
"GENE_0023",-0.257876033639432,0.140041497776341,0.140041497776341,-0.364673547314854,0.0560380599380962,0.0560380599380962,-0.257876033639432,-0.364673547314854,0.140041497776341,4717.77952379611,"Neither"
"GENE_0024",1.8220120487589,0.034339465728843,0.034339465728843,2.57658529834667,0.0206444294673397,0.0206444294673397,1.8220120487589,2.57658529834667,0.034339465728843,551367.911757705,"Both significant"
"GENE_0025",2.84279019189745,0.0250901770467255,0.0250901770467255,4.02011140360814,0.0211906949370538,0.0211906949370538,2.84279019189745,4.02011140360814,0.0250901770467255,21.4765458584845,"Both significant"
"GENE_0026",1.26493073925963,0.359561605166739,0.359561605166739,0.424326843372342,0.087102186152211,0.087102186152211,1.26493073925963,0.424326843372342,0.359561605166739,163008.836419869,"Neither"
"GENE_0027",-0.385904074153394,0.337922710376353,0.337922710376353,-0.545723484492332,0.601011595811071,0.601011595811071,-0.385904074153394,-0.545723484492332,0.601011595811071,10168.7762226688,"Neither"
"GENE_0028",-2.64474462779217,0.0297306963685512,0.0297306963685512,-3.74004668656962,0.0202948835615105,0.0202948835615105,-2.64474462779217,-3.74004668656962,0.0297306963685512,4.80847302924319,"Both significant"
"GENE_0029",0.690146032246907,0.527393004352071,0.527393004352071,0.975965072026246,0.516515441363983,0.516515441363983,0.690146032246907,0.975965072026246,0.527393004352071,384.086601976362,"Neither"
"GENE_0030",-0.959992313940179,0.32118232301975,0.32118232301975,-1.35756625995363,0.35322328907359,0.35322328907359,-0.959992313940179,-1.35756625995363,0.35322328907359,113.758933548771,"Neither"
"GENE_0031",0.683175184861829,0.278325504967937,0.278325504967937,0.966107298088009,0.545614690223872,0.545614690223872,0.683175184861829,0.966107298088009,0.545614690223872,39.8565150615306,"Neither"
"GENE_0032",1.05725600584323,0.30620076700022,0.30620076700022,1.49511101372791,0.705311198482275,0.705311198482275,1.05725600584323,1.49511101372791,0.705311198482275,4.93367200313892,"Neither"
"GENE_0033",1.55265528295488,0.0239053627346059,0.0239053627346059,2.19567635581054,0.0207430140135554,0.0207430140135554,1.55265528295488,2.19567635581054,0.0239053627346059,181.487586648028,"Both significant"
