"gene_id","log2FoldChange","baseMean","pvalue","padj","FDR"
"GENE_0001",2.90809661382463,8924098.27902368,0.0117317133621899,0.0257274415837498,0.0257274415837498
"GENE_0002",-1.19784581617902,1774.89063540721,0.194195996007883,0.280630052034513,0.280630052034513
"GENE_0003",3.41691877858274,720714.577360435,0.00598021590444435,0.020719280396913,0.020719280396913
"GENE_0004",-5.85695435715513,2402.02543578914,0.0031557665197819,0.0203033804876515,0.0203033804876515
"GENE_0005",0.857539733643821,6.4783894043295,0.517340356808238,0.540585534804847,0.540585534804847
"GENE_0006",-0.22511283732322,1,0.117632865619064,0.194113639635419,0.194113639635419
"GENE_0007",3.20626202174263,9430.29604514437,0.000967772862582206,0.0198247016291676,0.0198247016291676
"GENE_0008",-0.200792102525026,31.7048135003738,0.484821462437992,0.515219407479269,0.515219407479269
"GENE_0009",4.28150917323988,1156.00197353133,0.00034141486930813,0.0198247016291676,0.0198247016291676
"GENE_0010",-0.133030041481554,462983.538735322,0.111363770559674,0.186538979161932,0.186538979161932
"GENE_0011",2.76790812356683,3317.21802066732,0.00513872607421428,0.0206444294673397,0.0206444294673397
"GENE_0012",2.45964684383544,370.982847865559,0.00110820774221769,0.0198247016291676,0.0198247016291676
"GENE_0013",-2.9460711302994,1.29758262576731,0.000549121891127694,0.0198247016291676,0.0198247016291676
"GENE_0014",-0.591370708894437,62.9544357809891,0.0150323294623957,0.0313827337419535,0.0313827337419535
"GENE_0015",-0.28280312049129,136.953471081609,0.405035938391876,0.451545081819259,0.451545081819259
"GENE_0016",1.34898705576169,10624.5024011596,0.347042880492448,0.40637339636118,0.40637339636118
"GENE_0017",-0.60296135157144,5311.11886757658,0.203014025597775,0.290282800365347,0.290282800365347
"GENE_0018",-5.63491113125093,1049.40979392277,0.0015421639404447,0.019932487293846,0.019932487293846
"GENE_0019",-5.17675326040148,1863.65535667392,0.00704815789013679,0.0215422892387902,0.0215422892387902
"GENE_0020",2.80024325943116,369.670783131095,0.00473506443040382,0.0206444294673397,0.0206444294673397
"GENE_0021",-0.650446159738463,1110.04563738962,0.122004685187088,0.199680335821749,0.199680335821749
"GENE_0022",-3.77853685924319,2555.70759029688,0.00690143108684439,0.0214997853172722,0.0214997853172722
"GENE_0023",-0.364673547314854,4717.77952379611,0.0280750680289862,0.0560380599380962,0.0560380599380962
"GENE_0024",2.57658529834667,551367.911757705,0.00471013759682511,0.0206444294673397,0.0206444294673397
"GENE_0025",4.02011140360814,21.4765458584845,0.00671745029504606,0.0211906949370538,0.0211906949370538
"GENE_0026",0.424326843372342,163008.836419869,0.0452060346129975,0.087102186152211,0.087102186152211
"GENE_0027",-0.545723484492332,10168.7762226688,0.591395410278094,0.601011595811071,0.601011595811071
"GENE_0028",-3.74004668656962,4.80847302924319,0.00216226094441867,0.0202948835615105,0.0202948835615105
"GENE_0029",0.975965072026246,384.086601976362,0.486557545764872,0.516515441363983,0.516515441363983
"GENE_0030",-1.35756625995363,113.758933548771,0.274980480422815,0.35322328907359,0.35322328907359
"GENE_0031",0.966107298088009,39.8565150615306,0.523244487924693,0.545614690223872,0.545614690223872
"GENE_0032",1.49511101372791,4.93367200313892,0.70390057608531,0.705311198482275,0.705311198482275
"GENE_0033",2.19567635581054,181.487586648028,0.00616067516202597,0.0207430140135554,0.0207430140135554
"GENE_0034",-1.29166331341096,222.310500842322,0.188709374244782,0.273888787002586,0.273888787002586
"GENE_0035",1.07111801036164,327.101838849222,0.322209265530499,0.386805840972988,0.386805840972988
"GENE_0036",-3.64214330194539,1,0.0023494170841516,0.0203033804876515,0.0203033804876515
"GENE_0037",-1.66400563831865,4594.66479326136,0.00697333995916181,0.0215422892387902,0.0215422892387902
